Geneid	Length
LOC_Os01g69020	1375
LOC_Os01g69030	3883
LOC_Os01g69040	1356
LOC_Os01g69050	2458
LOC_Os01g69060	1861
LOC_Os01g69070	1422
LOC_Os01g69080	1962
LOC_Os01g69090	1553
LOC_Os01g69100	1272
LOC_Os01g69110	927
LOC_Os01g69120	2476
LOC_Os01g69130	3206
LOC_Os01g69140	1112
LOC_Os01g69150	534
LOC_Os01g69160	1110
LOC_Os01g69174	783
LOC_Os01g69190	1333
LOC_Os01g69200	1673
LOC_Os01g69210	3405
LOC_Os01g69220	1969
LOC_Os01g69230	2656
LOC_Os01g69240	1477
LOC_Os01g69250	2279
LOC_Os01g69260	540
LOC_Os01g69270	1333
LOC_Os01g69279	2654
LOC_Os01g69290	1813
LOC_Os01g69800	1056
LOC_Os01g69810	1758
LOC_Os01g69820	2526
LOC_Os01g69830	1983
LOC_Os01g69840	582
LOC_Os01g69850	1318
LOC_Os01g69870	1295
LOC_Os01g69890	228
LOC_Os01g69900	2348
LOC_Os01g69904	2734
LOC_Os01g69910	3349
LOC_Os01g69920	4255
LOC_Os01g69930	2854
LOC_Os01g69940	2044
LOC_Os01g69950	1968
LOC_Os01g69960	1483
LOC_Os01g69970	1903
LOC_Os01g69980	846
LOC_Os01g69990	4943
LOC_Os01g70000	912
LOC_Os01g70010	949
LOC_Os01g70020	2253
LOC_Os01g70025	1314
LOC_Os01g70030	2697
LOC_Os01g70040	2382
LOC_Os01g70050	522
LOC_Os01g70060	3208
LOC_Os01g70080	3053
LOC_Os01g70090	1478
LOC_Os01g70100	1845
LOC_Os01g70110	1109
LOC_Os01g70120	1603
LOC_Os01g70130	2744
LOC_Os01g70140	1120
LOC_Os01g70150	192
LOC_Os01g70160	1143
LOC_Os01g70170	1755
LOC_Os01g70180	2003
LOC_Os01g70190	2200
LOC_Os01g70200	1804
LOC_Os01g70210	1215
LOC_Os01g70220	2408
LOC_Os01g70230	897
LOC_Os01g70240	751
LOC_Os01g70250	2951
LOC_Os01g70260	2867
LOC_Os01g70270	3520
LOC_Os01g70280	858
LOC_Os01g70290	1149
LOC_Os01g70300	2194
LOC_Os01g70310	1593
LOC_Os01g70320	2213
LOC_Os01g70330	1832
LOC_Os01g70340	1569
LOC_Os01g70350	246
LOC_Os01g70360	1925
LOC_Os01g70370	1746
LOC_Os01g70380	2371
LOC_Os01g70390	2262
LOC_Os01g70400	1560
LOC_Os01g70410	2473
LOC_Os01g70430	2260
LOC_Os01g70440	653
LOC_Os01g70450	543
LOC_Os01g70460	2279
LOC_Os01g70470	1380
LOC_Os01g70480	756
LOC_Os01g70490	2757
LOC_Os01g70500	1318
LOC_Os01g70509	102
LOC_Os01g70520	2065
LOC_Os01g70525	846
LOC_Os01g70540	4709
LOC_Os01g70550	2130
LOC_Os01g70560	1425
LOC_Os01g70570	2254
LOC_Os01g70580	1276
LOC_Os01g70590	651
LOC_Os01g70600	927
LOC_Os01g70610	318
LOC_Os01g70620	225
LOC_Os01g70630	3217
LOC_Os01g70640	285
LOC_Os01g70650	426
LOC_Os01g70660	2411
LOC_Os01g70670	2967
LOC_Os01g70680	321
LOC_Os01g70690	336
LOC_Os01g70700	684
LOC_Os01g70710	1938
LOC_Os01g70720	3013
LOC_Os01g70730	906
LOC_Os01g70740	1692
LOC_Os01g70750	2121
LOC_Os01g70760	2256
LOC_Os01g70770	1292
LOC_Os01g70780	1725
LOC_Os01g70790	1528
LOC_Os01g70800	1793
LOC_Os01g70810	3977
LOC_Os01g70820	852
LOC_Os01g70830	675
LOC_Os01g70840	1193
LOC_Os01g70850	1360
LOC_Os01g70860	1047
LOC_Os01g70870	1883
LOC_Os01g70880	435
LOC_Os01g70890	1425
LOC_Os01g70900	2634
LOC_Os01g70920	2009
LOC_Os01g70930	1433
LOC_Os01g70940	3718
LOC_Os01g70950	2659
LOC_Os01g70960	2692
LOC_Os01g70970	1582
LOC_Os01g70980	1041
LOC_Os01g70990	378
LOC_Os01g71000	2574
LOC_Os01g71010	2753
LOC_Os01g71020	309
LOC_Os01g71029	721
LOC_Os01g71040	1889
LOC_Os01g71050	2111
LOC_Os01g71060	1584
LOC_Os01g71070	1484
LOC_Os01g71080	1498
LOC_Os01g71090	1791
LOC_Os01g71094	1430
LOC_Os01g71100	3575
LOC_Os01g71106	4440
LOC_Os01g71114	2097
LOC_Os01g71130	1591
LOC_Os01g71140	1556
LOC_Os01g71150	561
LOC_Os01g71160	1433
LOC_Os01g71170	935
LOC_Os01g71180	2751
LOC_Os01g71190	945
LOC_Os01g71200	1909
LOC_Os01g71210	831
LOC_Os01g71220	2261
LOC_Os01g71230	1002
LOC_Os01g71240	4266
LOC_Os01g71250	2610
LOC_Os01g71256	2476
LOC_Os01g71262	955
LOC_Os01g71270	1371
LOC_Os01g71280	2130
LOC_Os01g71300	2140
LOC_Os01g71310	2388
LOC_Os01g71320	2310
LOC_Os01g71330	857
LOC_Os01g71340	1408
LOC_Os01g71350	1274
LOC_Os01g71360	297
LOC_Os01g71370	900
LOC_Os01g71380	1259
LOC_Os01g71390	327
LOC_Os01g71400	1069
LOC_Os01g71410	1092
LOC_Os01g71420	1660
LOC_Os01g71430	1140
LOC_Os01g71440	1155
LOC_Os01g71450	834
LOC_Os01g71460	1479
LOC_Os01g71474	1445
LOC_Os01g71490	450
LOC_Os01g71510	3135
LOC_Os01g71520	6084
LOC_Os01g71530	4689
LOC_Os01g71540	2679
LOC_Os01g71549	426
LOC_Os01g71558	423
LOC_Os01g71570	573
LOC_Os01g71590	2852
LOC_Os01g71599	426
LOC_Os01g71608	423
LOC_Os01g71620	5247
LOC_Os01g71624	1829
LOC_Os01g71630	2708
LOC_Os01g71640	468
LOC_Os01g71650	693
LOC_Os01g71660	1470
LOC_Os01g71670	1349
LOC_Os01g71680	1014
LOC_Os01g71690	2792
LOC_Os01g71700	1819
LOC_Os01g71710	1551
LOC_Os01g71720	1954
LOC_Os01g71740	1714
LOC_Os01g71750	351
LOC_Os01g71760	1527
LOC_Os01g71770	1784
LOC_Os01g71780	1721
LOC_Os01g71790	952
LOC_Os01g71800	1092
LOC_Os01g71810	1211
LOC_Os01g71820	1230
LOC_Os01g71830	1206
LOC_Os01g71840	7992
LOC_Os01g71850	3321
LOC_Os01g71860	2378
LOC_Os01g71870	801
LOC_Os01g71880	678
LOC_Os01g71890	6150
LOC_Os01g71900	1719
LOC_Os01g71910	2658
LOC_Os01g71930	3544
LOC_Os01g71940	435
LOC_Os01g71950	813
LOC_Os01g71960	2474
LOC_Os01g71970	1544
LOC_Os01g71980	2104
LOC_Os01g71990	1945
LOC_Os01g72000	2782
LOC_Os01g72009	653
LOC_Os01g72020	2284
LOC_Os01g72030	2304
LOC_Os01g72049	3174
LOC_Os01g72070	1059
LOC_Os01g72080	1211
LOC_Os01g72090	1304
LOC_Os01g72100	1275
LOC_Os01g72110	1461
LOC_Os01g72120	1149
LOC_Os01g72130	684
LOC_Os01g72140	1246
LOC_Os01g72150	845
LOC_Os01g72160	902
LOC_Os01g72170	1034
LOC_Os01g72190	1920
LOC_Os01g72200	1399
LOC_Os01g72205	735
LOC_Os01g72210	3068
LOC_Os01g72220	2596
LOC_Os01g72230	1784
LOC_Os01g72240	2084
LOC_Os01g72250	1710
LOC_Os01g72260	1828
LOC_Os01g72270	1650
LOC_Os01g72280	815
LOC_Os01g72290	1253
LOC_Os01g72300	1145
LOC_Os01g72310	4537
LOC_Os01g72320	3583
LOC_Os01g72330	1605
LOC_Os01g72340	3969
LOC_Os01g72350	2418
LOC_Os01g72370	4639
LOC_Os01g72360	1039
LOC_Os01g72380	2929
LOC_Os01g72390	2574
LOC_Os01g72400	3888
LOC_Os01g72410	3305
LOC_Os01g72420	2586
LOC_Os01g72430	3092
LOC_Os01g72440	258
LOC_Os01g72450	845
LOC_Os01g72460	849
LOC_Os01g72470	606
LOC_Os01g72480	1414
LOC_Os01g72490	2342
LOC_Os01g72500	1221
LOC_Os01g72510	1649
LOC_Os01g72520	1955
LOC_Os01g72530	999
LOC_Os01g72540	456
LOC_Os01g72550	441
LOC_Os01g72560	1176
LOC_Os01g72570	2594
LOC_Os01g72579	78
LOC_Os01g72590	207
LOC_Os01g72600	1272
LOC_Os01g72610	2022
LOC_Os01g72620	1233
LOC_Os01g72630	1509
LOC_Os01g72650	2380
LOC_Os01g72660	477
LOC_Os01g72670	2130
LOC_Os01g72680	2793
LOC_Os01g72690	2336
LOC_Os01g72700	3342
LOC_Os01g72710	1859
LOC_Os01g72720	1155
LOC_Os01g72730	651
LOC_Os01g72740	1697
LOC_Os01g72749	117
LOC_Os01g72760	1656
LOC_Os01g72780	4075
LOC_Os01g72790	1960
LOC_Os01g72800	1345
LOC_Os01g72810	1757
LOC_Os01g72820	2953
LOC_Os01g72834	2589
LOC_Os01g72850	627
LOC_Os01g72860	2808
LOC_Os01g72870	1319
LOC_Os01g72880	2623
LOC_Os01g72890	1711
LOC_Os01g72900	571
LOC_Os01g72910	670
LOC_Os01g72920	216
LOC_Os01g72930	2817
LOC_Os01g72934	515
LOC_Os01g72940	2180
LOC_Os01g72950	863
LOC_Os01g72960	792
LOC_Os01g72970	2920
LOC_Os01g72980	2714
LOC_Os01g72990	4156
LOC_Os01g73000	2202
LOC_Os01g73005	1462
LOC_Os01g73020	959
LOC_Os01g73024	596
LOC_Os01g73030	480
LOC_Os01g73040	2110
LOC_Os01g73060	1350
LOC_Os01g73070	3020
LOC_Os01g73080	4205
LOC_Os01g73090	555
LOC_Os01g73100	933
LOC_Os01g73110	1138
LOC_Os01g73120	1330
LOC_Os01g73130	498
LOC_Os01g73140	835
LOC_Os01g73150	2154
LOC_Os01g73160	918
LOC_Os01g73170	1468
LOC_Os01g73180	270
LOC_Os01g73190	936
LOC_Os01g73200	1299
LOC_Os01g73210	327
LOC_Os01g73220	1272
LOC_Os01g73230	977
LOC_Os01g73234	1122
LOC_Os01g73240	552
LOC_Os01g73250	1545
LOC_Os01g73260	279
LOC_Os01g73270	573
LOC_Os01g73280	474
LOC_Os01g73290	282
LOC_Os01g73300	1120
LOC_Os01g73310	1626
LOC_Os01g73320	5556
LOC_Os01g73332	627
LOC_Os01g73344	5472
LOC_Os01g73356	627
LOC_Os01g73370	471
LOC_Os01g73380	3393
LOC_Os01g73390	1680
LOC_Os01g73400	171
LOC_Os01g73410	3788
LOC_Os01g73420	1393
LOC_Os01g73430	4713
LOC_Os01g73440	735
LOC_Os01g73450	1389
LOC_Os01g73460	1697
LOC_Os01g73470	1424
LOC_Os01g73480	2694
LOC_Os01g73490	901
LOC_Os01g73500	1154
LOC_Os01g73514	6503
LOC_Os01g73530	4846
LOC_Os01g73540	785
LOC_Os01g73550	2009
LOC_Os01g73560	1810
LOC_Os01g73570	950
LOC_Os01g73580	2187
LOC_Os01g73590	1455
LOC_Os01g73604	1371
LOC_Os01g73620	4311
LOC_Os01g73630	1199
LOC_Os01g73640	1409
LOC_Os01g73644	384
LOC_Os01g73650	465
LOC_Os01g73656	1715
LOC_Os01g73662	1306
LOC_Os01g73670	2875
LOC_Os01g73680	2524
LOC_Os01g73690	2579
LOC_Os01g73700	1257
LOC_Os01g73710	951
LOC_Os01g73720	1353
LOC_Os01g73730	1354
LOC_Os01g73740	438
LOC_Os01g73750	1821
LOC_Os01g73760	2185
LOC_Os01g73770	938
LOC_Os01g73780	717
LOC_Os01g73790	1920
LOC_Os01g73800	1917
LOC_Os01g73810	777
LOC_Os01g73820	393
LOC_Os01g73830	1101
LOC_Os01g73840	1185
LOC_Os01g73850	633
LOC_Os01g73860	1278
LOC_Os01g73870	4926
LOC_Os01g73880	1096
LOC_Os01g73890	807
LOC_Os01g73900	1877
LOC_Os01g73910	1694
LOC_Os01g73920	333
LOC_Os01g73930	3249
LOC_Os01g73950	2511
LOC_Os01g73940	582
LOC_Os01g73960	1100
LOC_Os01g73970	1956
LOC_Os01g73980	1446
LOC_Os01g73990	968
LOC_Os01g74000	1920
LOC_Os01g74010	1340
LOC_Os01g74020	1309
LOC_Os01g74030	3640
LOC_Os01g74040	1526
LOC_Os01g74050	966
LOC_Os01g74060	570
LOC_Os01g74070	2544
LOC_Os01g74080	2226
LOC_Os01g74090	1191
LOC_Os01g74100	717
LOC_Os01g74110	1343
LOC_Os01g74120	321
LOC_Os01g74130	2094
LOC_Os01g74140	1414
LOC_Os01g74146	1932
LOC_Os01g74152	1320
LOC_Os01g74160	1366
LOC_Os01g74170	1421
LOC_Os01g74180	3604
LOC_Os01g74190	1533
LOC_Os01g74200	1916
LOC_Os01g74210	3162
LOC_Os01g74220	3165
LOC_Os01g74230	5568
LOC_Os01g74240	3165
LOC_Os01g74250	1564
LOC_Os01g74260	5682
LOC_Os01g74270	2751
LOC_Os01g74280	1790
LOC_Os01g74300	833
LOC_Os01g74310	4844
LOC_Os01g74320	1745
LOC_Os01g74330	1520
LOC_Os01g74340	662
LOC_Os01g74350	2302
LOC_Os01g74360	306
LOC_Os01g74370	1501
LOC_Os01g74380	366
LOC_Os01g74390	2211
LOC_Os01g74400	1704
LOC_Os01g74410	1583
LOC_Os01g74430	423
LOC_Os01g74440	627
LOC_Os01g74450	1409
LOC_Os01g74460	2375
LOC_Os01g74470	5190
LOC_Os01g74480	1500
LOC_Os01g74490	830
LOC_Os01g74500	873
LOC_Os01g74510	3404
LOC_Os01g74520	1454
LOC_Os01g74530	2557
LOC_Os01g74540	934
LOC_Os01g74550	2868
LOC_Os01g74560	780
LOC_Os01g74570	792
LOC_Os01g74580	1697
LOC_Os01g74590	877
LOC_Os01g74600	2549
LOC_Os01g74610	6128
LOC_Os01g74620	819
LOC_Os01g74630	942
LOC_Os01g74640	2084
LOC_Os01g74650	2251
LOC_Os01g74660	1247
LOC_Os01g74670	465
LOC_Os01g74680	5454
LOC_Os01g74690	3105
LOC_Os10g01006	528
LOC_Os10g01008	2415
LOC_Os10g01010	288
LOC_Os10g01020	5976
LOC_Os10g01030	693
LOC_Os10g01044	2005
LOC_Os10g01060	2777
LOC_Os10g01070	327
LOC_Os10g01080	1287
LOC_Os10g01090	576
LOC_Os10g01100	2949
LOC_Os10g01110	2015
LOC_Os10g01120	405
LOC_Os10g01134	1699
LOC_Os10g01150	174
LOC_Os10g01164	522
LOC_Os10g01180	363
LOC_Os10g01200	873
LOC_Os10g01210	1287
LOC_Os10g01230	1056
LOC_Os10g01240	524
LOC_Os10g01250	258
LOC_Os10g01260	657
LOC_Os10g01274	2682
LOC_Os10g01290	1675
LOC_Os10g01300	1761
LOC_Os10g01310	345
LOC_Os10g01320	2736
LOC_Os10g01330	1089
LOC_Os10g01340	692
LOC_Os10g01350	2397
LOC_Os10g01360	4251
LOC_Os10g01370	447
LOC_Os10g01380	1245
LOC_Os10g01390	948
LOC_Os10g01400	303
LOC_Os10g01410	870
LOC_Os10g01420	267
LOC_Os10g01430	489
LOC_Os10g01440	735
LOC_Os10g01450	3018
LOC_Os10g01460	414
LOC_Os10g01470	1450
LOC_Os10g01480	1735
LOC_Os10g01490	207
LOC_Os10g01500	171
LOC_Os10g01510	3000
LOC_Os10g01520	1788
LOC_Os10g01530	1201
LOC_Os10g01540	2171
LOC_Os10g01550	3460
LOC_Os10g01560	2406
LOC_Os10g01570	1612
LOC_Os10g01580	759
LOC_Os10g01590	1362
LOC_Os10g01600	4134
LOC_Os10g01610	3893
LOC_Os10g01620	189
LOC_Os10g01630	405
LOC_Os10g01640	1404
LOC_Os10g01650	1607
LOC_Os10g01660	1633
LOC_Os10g01670	243
LOC_Os10g01680	1491
LOC_Os10g01690	1305
LOC_Os10g01700	744
LOC_Os10g01710	198
LOC_Os10g01720	1527
LOC_Os10g01730	567
LOC_Os10g01740	234
LOC_Os10g01750	4053
LOC_Os10g01760	534
LOC_Os10g01770	3255
LOC_Os10g01780	774
LOC_Os10g01790	2439
LOC_Os10g01800	1185
LOC_Os10g01810	153
LOC_Os10g01820	3974
LOC_Os10g01830	642
LOC_Os10g01840	531
LOC_Os10g01844	661
LOC_Os10g01850	3147
LOC_Os10g01860	867
LOC_Os10g01870	1416
LOC_Os10g01880	1167
LOC_Os10g01890	3144
LOC_Os10g01900	1077
LOC_Os10g01910	2166
LOC_Os10g01920	1530
LOC_Os10g01930	1520
LOC_Os10g01940	1995
LOC_Os10g01950	2889
LOC_Os10g01960	1974
LOC_Os10g01970	1428
LOC_Os10g01984	5859
LOC_Os10g02000	1143
LOC_Os10g02010	2322
LOC_Os10g02020	438
LOC_Os10g02030	2454
LOC_Os10g02040	1591
LOC_Os10g02050	288
LOC_Os10g02060	150
LOC_Os10g02070	1285
LOC_Os10g02080	1551
LOC_Os10g02090	1008
LOC_Os10g02100	2099
LOC_Os10g02120	4569
LOC_Os10g02130	432
LOC_Os10g02140	312
LOC_Os10g02150	2067
LOC_Os10g02160	2271
LOC_Os10g02170	1614
LOC_Os10g02180	1260
LOC_Os10g02190	531
LOC_Os10g02200	336
LOC_Os10g02210	1776
LOC_Os10g02220	2371
LOC_Os10g02230	708
LOC_Os10g02240	2189
LOC_Os10g02250	2382
LOC_Os10g02260	3102
LOC_Os10g02270	789
LOC_Os10g02276	954
LOC_Os10g02284	1542
LOC_Os10g02300	993
LOC_Os10g02314	717
LOC_Os10g02330	384
LOC_Os10g02340	1671
LOC_Os10g02350	2233
LOC_Os10g02360	2263
LOC_Os10g02369	57
LOC_Os10g02380	1234
LOC_Os10g02400	663
LOC_Os10g02410	219
LOC_Os10g02420	1899
LOC_Os10g02430	1605
LOC_Os10g02440	1374
LOC_Os10g02450	402
LOC_Os10g02470	435
LOC_Os10g02480	1520
LOC_Os10g02490	1846
LOC_Os10g02500	3948
LOC_Os10g02509	1035
LOC_Os10g02520	2307
LOC_Os10g02530	477
LOC_Os10g02544	4743
LOC_Os10g02560	2391
LOC_Os10g02570	618
LOC_Os10g02584	1803
LOC_Os10g02600	1404
LOC_Os10g02610	234
LOC_Os10g02620	1525
LOC_Os10g02625	315
LOC_Os10g02630	1913
LOC_Os10g02640	813
LOC_Os10g02644	210
LOC_Os10g02650	2850
LOC_Os10g02660	4794
LOC_Os10g02670	1041
LOC_Os10g02680	270
LOC_Os10g02690	957
LOC_Os10g02700	2178
LOC_Os10g02710	441
LOC_Os10g02720	2760
LOC_Os10g02740	561
LOC_Os10g02750	1232
LOC_Os10g02760	2365
LOC_Os10g02770	1670
LOC_Os10g02780	699
LOC_Os10g02790	1077
LOC_Os10g02800	732
LOC_Os10g02814	3133
LOC_Os10g02830	261
LOC_Os10g02840	1289
LOC_Os10g02850	2943
LOC_Os10g02860	3633
LOC_Os10g02870	246
LOC_Os10g02880	1487
LOC_Os10g02890	243
LOC_Os10g02900	390
LOC_Os10g02910	2821
LOC_Os10g02920	843
LOC_Os10g02930	1654
LOC_Os10g02940	579
LOC_Os10g02950	426
LOC_Os10g02960	4353
LOC_Os10g02970	724
LOC_Os10g02980	1804
LOC_Os10g02990	1887
LOC_Os10g03000	1485
LOC_Os10g03010	489
LOC_Os10g03020	1116
LOC_Os10g03030	489
LOC_Os10g03040	2997
LOC_Os10g03050	1185
LOC_Os10g03060	1305
LOC_Os10g03070	4815
LOC_Os10g03080	837
LOC_Os10g03090	375
LOC_Os10g03100	2532
LOC_Os10g03110	3039
LOC_Os10g03120	1644
LOC_Os10g03130	1725
LOC_Os10g03140	639
LOC_Os10g03150	1188
LOC_Os10g03160	831
LOC_Os10g03170	2109
LOC_Os10g03180	1044
LOC_Os10g03190	414
LOC_Os10g03200	678
LOC_Os10g03210	891
LOC_Os10g03220	1292
LOC_Os10g03230	648
LOC_Os10g03240	990
LOC_Os10g03250	4332
LOC_Os10g03260	399
LOC_Os10g03270	270
LOC_Os10g03280	177
LOC_Os10g03290	366
LOC_Os10g03300	3330
LOC_Os10g03310	741
LOC_Os10g03320	1510
LOC_Os10g03330	3081
LOC_Os10g03340	3345
LOC_Os10g03350	930
LOC_Os10g03360	1266
LOC_Os10g03370	423
LOC_Os10g03380	153
LOC_Os10g03390	1320
LOC_Os10g03400	2001
LOC_Os10g03410	321
LOC_Os10g03420	1152
LOC_Os10g03430	510
LOC_Os10g03440	1383
LOC_Os10g03450	513
LOC_Os10g03460	3162
LOC_Os10g03470	3333
LOC_Os10g03480	1022
LOC_Os10g03490	1224
LOC_Os10g03500	495
LOC_Os10g03510	390
LOC_Os10g03520	561
LOC_Os10g03530	783
LOC_Os10g03540	800
LOC_Os10g03550	3305
LOC_Os10g03560	888
LOC_Os10g03570	2373
LOC_Os10g03580	318
LOC_Os10g03590	207
LOC_Os10g03600	2240
LOC_Os10g03610	762
LOC_Os10g03620	1882
LOC_Os10g03630	267
LOC_Os10g03640	540
LOC_Os10g03650	948
LOC_Os10g03660	3427
LOC_Os10g03669	4037
LOC_Os10g03680	273
LOC_Os10g03690	1874
LOC_Os10g03700	3012
LOC_Os10g03710	450
LOC_Os10g03720	462
LOC_Os10g03730	1820
LOC_Os10g03740	1800
LOC_Os10g03750	1886
LOC_Os10g03760	1646
LOC_Os10g03770	399
LOC_Os10g03780	3148
LOC_Os10g03790	153
LOC_Os10g03800	561
LOC_Os10g03809	93
LOC_Os10g03820	822
LOC_Os10g03830	2846
LOC_Os10g03840	408
LOC_Os10g03850	2872
LOC_Os10g03855	474
LOC_Os10g03870	1494
LOC_Os10g03880	876
LOC_Os10g03890	477
LOC_Os10g03900	717
LOC_Os10g03910	1843
LOC_Os10g03920	654
LOC_Os10g03930	1803
LOC_Os10g03940	183
LOC_Os10g03950	876
LOC_Os10g03960	390
LOC_Os10g03970	1608
LOC_Os10g03980	531
LOC_Os10g03990	879
LOC_Os10g04000	1581
LOC_Os10g04010	1578
LOC_Os10g04020	1224
LOC_Os10g04030	1095
LOC_Os10g04040	2430
LOC_Os10g04050	6620
LOC_Os10g04060	3825
LOC_Os10g04074	7816
LOC_Os10g04090	3875
LOC_Os10g04100	282
LOC_Os10g04110	2919
LOC_Os10g04120	3969
LOC_Os10g04130	2517
LOC_Os10g04140	3024
LOC_Os10g04150	1080
LOC_Os10g04160	1086
LOC_Os10g04170	1755
LOC_Os10g04180	3607
LOC_Os10g04210	732
LOC_Os10g04220	1971
LOC_Os10g04230	2484
LOC_Os10g04240	2784
LOC_Os10g04250	1212
LOC_Os10g04260	603
LOC_Os10g04270	834
LOC_Os10g04280	882
LOC_Os10g04290	6456
LOC_Os10g04316	3447
LOC_Os10g04342	3119
LOC_Os10g04370	1687
LOC_Os10g04380	1512
LOC_Os10g04390	654
LOC_Os10g04400	1011
LOC_Os10g04410	354
LOC_Os10g04429	1765
LOC_Os10g04450	1298
LOC_Os10g04460	165
LOC_Os10g04470	1401
LOC_Os10g04480	1059
LOC_Os10g04490	1461
LOC_Os10g04500	177
LOC_Os10g04510	1059
LOC_Os10g04520	750
LOC_Os10g04530	642
LOC_Os10g04540	1452
LOC_Os10g04550	702
LOC_Os10g04560	978
LOC_Os10g04570	1443
LOC_Os10g04580	1889
LOC_Os10g04590	2071
LOC_Os10g04600	1989
LOC_Os10g04610	2409
LOC_Os10g04620	1692
LOC_Os10g04625	582
LOC_Os10g04630	414
LOC_Os10g04640	3177
LOC_Os10g04660	1488
LOC_Os10g04674	3989
LOC_Os10g04690	627
LOC_Os10g04700	2081
LOC_Os10g04710	519
LOC_Os10g04720	2007
LOC_Os10g04730	2210
LOC_Os10g04740	2892
LOC_Os10g04750	393
LOC_Os10g04760	273
LOC_Os10g04770	1498
LOC_Os10g04780	2798
LOC_Os10g04790	162
LOC_Os10g04800	156
LOC_Os10g04810	1149
LOC_Os10g04840	618
LOC_Os10g04850	2187
LOC_Os10g04860	5146
LOC_Os10g04870	246
LOC_Os10g04880	333
LOC_Os10g04890	1875
LOC_Os10g04900	1939
LOC_Os10g04910	795
LOC_Os10g04919	129
LOC_Os10g04930	447
LOC_Os10g04940	567
LOC_Os10g04950	444
LOC_Os10g04960	366
LOC_Os10g04980	1585
LOC_Os10g04990	615
LOC_Os10g05000	850
LOC_Os10g05010	1610
LOC_Os10g05020	1856
LOC_Os10g05030	483
LOC_Os10g05040	2493
LOC_Os10g05050	795
LOC_Os10g05069	4421
LOC_Os10g05088	1299
LOC_Os10g05110	225
LOC_Os10g05120	285
LOC_Os10g05130	1384
LOC_Os10g05140	207
LOC_Os10g05150	216
LOC_Os10g05160	1968
LOC_Os10g05170	483
LOC_Os10g05180	1653
LOC_Os10g05190	7608
LOC_Os10g05200	1513
LOC_Os10g05210	2341
LOC_Os10g05220	1714
LOC_Os10g05230	1442
LOC_Os10g05240	1485
LOC_Os10g05250	2427
LOC_Os10g05259	761
LOC_Os10g05270	588
LOC_Os10g05280	324
LOC_Os10g05290	2042
LOC_Os10g05300	984
LOC_Os10g05309	384
LOC_Os10g05320	696
LOC_Os10g05329	384
LOC_Os10g05340	1308
LOC_Os10g05360	966
LOC_Os10g05370	723
LOC_Os10g05380	4224
LOC_Os10g05390	432
LOC_Os10g05400	1953
LOC_Os10g05410	1740
LOC_Os10g05420	444
LOC_Os10g05430	189
LOC_Os10g05440	1812
LOC_Os10g05450	207
LOC_Os10g05460	933
LOC_Os10g05470	747
LOC_Os10g05480	510
LOC_Os10g05490	1607
LOC_Os10g05500	1476
LOC_Os10g05510	354
LOC_Os10g05520	1620
LOC_Os10g05530	1979
LOC_Os10g05540	1509
LOC_Os10g05550	342
LOC_Os10g05560	483
LOC_Os10g05570	333
LOC_Os10g05580	678
LOC_Os10g05590	1107
LOC_Os10g05600	1688
LOC_Os10g05610	210
LOC_Os10g05620	795
LOC_Os10g05630	255
LOC_Os10g05650	2526
LOC_Os10g05660	1089
LOC_Os10g05680	2002
LOC_Os10g05690	2129
LOC_Os10g05695	3975
LOC_Os10g05700	552
LOC_Os10g05710	3678
LOC_Os10g05730	3037
LOC_Os10g05720	962
LOC_Os10g05740	564
LOC_Os10g05750	1289
LOC_Os10g05770	822
LOC_Os10g05780	1866
LOC_Os10g05790	1217
LOC_Os10g05800	2369
LOC_Os10g05810	2799
LOC_Os10g05820	1063
LOC_Os10g05840	775
LOC_Os10g05849	123
LOC_Os10g05860	1036
LOC_Os10g05870	465
LOC_Os10g05880	699
LOC_Os10g05890	588
LOC_Os10g05900	1329
LOC_Os10g05910	913
LOC_Os10g05930	1017
LOC_Os10g05940	682
LOC_Os10g05950	985
LOC_Os10g05960	279
LOC_Os10g05970	1143
LOC_Os10g05980	1041
LOC_Os10g05990	1085
LOC_Os10g06000	989
LOC_Os10g06010	1002
LOC_Os10g06020	279
LOC_Os10g06030	2082
LOC_Os10g06050	2466
LOC_Os10g06070	1557
LOC_Os10g06080	246
LOC_Os10g06090	2247
LOC_Os10g06100	1206
LOC_Os10g06110	2547
LOC_Os10g06130	3655
LOC_Os10g06140	2179
LOC_Os10g06150	129
LOC_Os10g06160	390
LOC_Os10g06170	5367
LOC_Os10g06180	441
LOC_Os10g06190	693
LOC_Os10g06200	2475
LOC_Os10g06210	927
LOC_Os10g06220	732
LOC_Os10g06230	3471
LOC_Os10g06240	573
LOC_Os10g06250	1710
LOC_Os10g06260	1002
LOC_Os10g06270	5160
LOC_Os10g06280	747
LOC_Os10g06290	5361
LOC_Os10g06300	786
LOC_Os10g06310	5193
LOC_Os10g06320	810
LOC_Os10g06330	4302
LOC_Os10g06340	3285
LOC_Os10g06350	2523
LOC_Os10g06360	429
LOC_Os10g06370	1242
LOC_Os10g06380	3069
LOC_Os10g06390	429
LOC_Os10g06400	2265
LOC_Os10g06410	3285
LOC_Os10g06420	576
LOC_Os10g06430	4710
LOC_Os10g06440	396
LOC_Os10g06450	5580
LOC_Os10g06460	981
LOC_Os10g06470	417
LOC_Os10g06480	768
LOC_Os10g06490	1953
LOC_Os10g06500	447
LOC_Os10g06510	1260
LOC_Os10g06520	4893
LOC_Os10g06540	1638
LOC_Os10g06550	5088
